med_event_ID,conflict_country,conflict_counry_ID,conflict_id,med_location - MULTISELECT,med_loc_cty,med_loc_x,med_loc_y,Day,Month,Year,third_party,third_party_id_GLOPAD,third_party_id_PAAX,third_party_id_GW,num_med,individual_med_named,groupings_mechanisms,num_local,if_loc_belig,agmt,agmt_name,agmt_id_PAX,Summary,source_urls,med_type
SUD202409-9,Sudan,625,,Ankara,TUR,32.85,39.93,8,9,2024,United States; Turkey,CON_3;CON_562,CON_3; CON_562,2; 640,2,Tom Perriello,,0,,0,,,"U.S. Special Envoy Tom Perriello during Sept toured regional capitals, including Riyadh, Cairo, Ankara, Nairobi and Addis Ababa, to maintain momentum from U.S.-led Geneva talks in Aug and push for coordinated strategy among regional powers to end war. ",https://www.crisisgroup.org/crisiswatch/database?location%5B%5D=14&crisis_state=&created=&from_month=1&from_year=2025&to_month=1&to_year=2025; https://news.az/news/the-us-rallies-a-coalition-to-save-sudan; https://allafrica.com/stories/202409080085.html; https://www.miragenews.com/us-envoy-perriello-visits-saudi-arabia-egypt-1311793/,MR
SUD202409-10,Sudan,625,,Cairo,EGY,31.2358,30.0444,9,9,2024,Egypt,CON_82,CON_82,651,1,Badr Abdelatty,,1,,0,,,"Egyptian Foreign Minister Badr Abdelatty met with his Sudanese counterpart Hussein Awad here on Monday to discuss efforts to resolve the crisis in Sudan. He also emphasized Egypt's efforts to support Sudanese citizens residing in Egypt, ensuring their safety until they can return home, according to a statement by the Egyptian Foreign Ministry. For his part, Awad thanked Egypt for its role in seeking a resolution to the Sudan conflict. Since April 15, 2023, Sudan has been mired in a conflict between the army and paramilitary Rapid Support Forces, leading to at least 16,650 deaths. According to official Egyptian figures released in March, about 500,000 Sudanese had fled to Egypt since the beginning of the conflict.",http://www.china.org.cn/world/Off_the_Wire/2024-09/10/content_117417785.htm; https://www.bignewsnetwork.com/news/274574862/egyptian-sudanese-fms-discuss-crisis-in-sudan; https://english.news.cn/africa/20240910/067c2f63b53e4d22a810da8934d2c128/c.html; https://menafn.com/1108654903/Egyptian-Sudanese-Fms-Discussed-Crisis-In-Sudan,MR
SUD202409-11,Sudan,625,,New York,USA,-73.9249,40.6943,10,9,2024,Egypt; Greece,CON_82;CON_636,CON_82; CON_636,651; 350,2,Badr Abdelatty; Georgios Gerapetritis,,0,,0,,,"Minister of Foreign Affairs Badr Abdelatty engaged in phone discussions on Thursday 5/9/2024 with Greek Minister of Foreign Affairs, Georgios Gerapetritis, and Cypriot counterpart, Constantinos Kombos, to deliberate on the arrangements for the upcoming summit of the three countries. Abdelatty agreed with each of his Greek and Cypriot counterparts to convene on the sidelines of the 79th session of the UN General Assembly (UNGA 79), slated to open on Tuesday, September 10. In New York, discussions between Abdelatty and Gerapetritis will encompass regional developments, focusing on crises in the Gaza Strip and Sudan, as well as security issues in the Red Sea region.Before their meeting, they concurred on the necessity of collaborative efforts to defuse tensions and promote de-escalation across the region.",https://www.sis.gov.eg/Story/194643/Egypt-discusses-with-Greece%2c-Cyprus-preparations-for-10th-trilateral-summit,
SUD202409-12,Sudan,625,,Virtual ,0, , ,12,9,2024,United States; Switzerland; Egypt; United Arab Emirates; AU; UN,CON_3;CON_202;CON_82;CON_591;GP-6;IGO_49,CON_3; CON_202; CON_82; CON_591; ; IGO_49,2; 225; 651; 696; ; ,6,,Aligned for Advancing Lifesaving and Peace in Sudan,0,,0,,,"The ALPS Group held a weekly virtual meeting on September 12, and issued a joint statement on the progress in addressing the crisis in Sudan. The group seeks to ""coordinate efforts to expand emergency humanitarian access and protections for Sudanese civilians, of whom over 25 million are facing famine and acute hunger,"" according to the statement. ""With increased options for humanitarian access, international donors and aid organizations are mobilising hundreds of thousands of tons of additional humanitarian assistance for the people of Sudan, including food, medicine, and aid helping the most vulnerable, such as women and children. This relief could save countless lives and alleviate suffering for millions of Sudanese."" The group welcomed the ""commitments to humanitarian access"" made by the Transitional Sovereign Council, the Sudan Armed Forced (SAF) and the Rapid Support Forces (RSF) and asked them to effectively facilitate unhindered, safe and rapid access on key roads, including from Port Sudan through Shendi to Khartoum, as well as roads from Khartoum to El Obeid and to Kosti. ALPS members also called on the Humanitarian Aid Commission (HAC) to swiftly conclude discussions with the humanitarian community on simplifying the notification system. The group also called on RSF and SAF to take action against ""perpetrators of war crimes and violations of international law, including international humanitarian law."" The group said it continues to ""pursue an urgently-needed cessation of hostilities for all of Sudan"" and reaffirmed its ""dedication to ongoing consultations with Sudanese women as an integral component of the ALPS Group.""",https://www.khaleejtimes.com/world/alps-group-holds-virtual-meeting-issues-joint-statement-on-crisis-in-sudan,MR
SUD202409-13,Sudan,625,,Cairo,EGY,31.2358,30.0444,15,9,2024,Egypt,CON_82,CON_82,651,1,,,1,,0,,,"The Political Communication Committee of the Forces for Freedom and Change - Democratic Bloc (FFC-DB)* held an important meeting in Cairo, the capital of Egypt, yesterday, chaired by the Governor of Darfur Minni Minawi, who also serves as the committee's chairperson. A number of leaders from the FFC-DB also attended the meeting. According to a statement issued yesterday by FFC-DB spokesperson Mohamed Zakaria, a briefing was provided on the bloc's participation in several international meetings, including discussions in Switzerland, the African Union conference in Addis Ababa, and a meeting with United States envoy Tom Perriello. The Democratic Bloc condemned ""indiscriminate attacks by the Rapid Support Forces (RSF) militia"" against civilians in El Fasher, Sennar, and other areas. ""The attacks targeted humanitarian and commercial convoys in El Fasher, South Kordofan (Nuba Mountains), El Gezira, and Sennar"", according to the statement. Attendees reaffirmed their full support for the Sudanese Armed Forces (SAF), the Darfur Joint Forces, and the National Movement Forces (NMF), praising their ""victories and resilience in the face of ongoing challenges"". The FFC-DB agreed to follow up on the outcomes of the Addis Ababa meeting regarding a comprehensive inter-Sudanese dialogue, with the goal of finding a sustainable solution to the ongoing crisis. They also submitted a recommendation to the Democratic Bloc's leadership body to convene and address organisational and political issues.",https://allafrica.com/stories/202409170009.html,MR
SUD202409-14,Sudan,625,,Juba,SSD,31.6,4.85,16,9,2024,South Sudan,CON_173,CON_173,626,1,Salva Kiir,,1,1,0,,,"On 16 September, the Chair of the Transitional Sovereign Council of the Sudan and Head of the Sudanese Armed Forces, General Abdel Fattah al-Burhan, visited Juba for bilateral discussions, including on resuming oil exports from South Sudan….Sudan’s military leader arrived in neighbouring South Sudan on Monday (September 16) for talks with his counterpart, President Salva Kiir. General Abdel Fattah al-Burhan landed on board an aeroplane from Port Sudan. This is Burhan’s second trip to South Sudan since the deadly conflict in his country started. Speaking to the media after Gen. Al Burhan’s arrival, South Sudan’s Minister of Foreign Affairs Ramadan Goc said talks between the two leaders will focus on issues of mutual interest. “There are too many issues of concern for the two countries. After a joint meeting, the Ministry of Foreign Affairs of South Sudan and the Ministry of Foreign Affairs of Sudan will hold a joint press conference to brief the public on the issues discussed,” said Goc. ",https://documents.un.org/doc/undoc/gen/n24/298/85/pdf/n2429885.pdf; https://www.radiotamazuj.org/en/news/article/sudans-leader-in-south-sudan-for-talks,MR
SUD202409-15,Sudan,625,,Cairo,EGY,31.2358,30.0444,18,9,2024,Egypt; United States,CON_82;CON_3,CON_82; CON_3,651; 2,2,Anthony Blinken; Badr Abdelatty,,0,,0,,,"On Wednesday, Blinken and Abdelatty held talks in which they discussed the urgent need for cease-fires in Gaza and Sudan.",https://www.globalsecurity.org/military/library/news/2024/09/mil-240918-voa03.htm,
SUD202409-16,Sudan,625,,New York,USA,-73.9249,40.6943,18,9,2024,UNSC; OCHA,IGO_673;GP-51,IGO_673; ,; ,2,Martha Bobby; Joyce Msuya,,0,,0,,,"The United Nations has renewed its urgent call for a ceasefire in Sudan, urging all parties to adhere to international human rights and humanitarian law. The UN Security Council convened on Wednesday in New York to discuss the deepening crisis, with Assistant Secretary-General for Africa, Martha Bobby, and Acting Under-Secretary-General for Humanitarian Affairs, Joyce Msuya, delivering stark warnings. The 17-month war in Sudan has pushed the country to the brink, with no end in sight. Martha Bobby highlighted the deteriorating situation in El Fasher, where civilians remain trapped under siege. Ramtane Lamamra, the UN Secretary-General's envoy for Sudan, continues efforts to mediate between warring parties, engaging with the Sudanese authorities and international mediators in recent months. Joyce Msuya painted a grim picture of the situation in El Fasher. Large-scale fighting, accompanied by heavy artillery and air bombardment, has put civilians, particularly women and children, in grave danger. Msuya outlined three urgent steps needed to prevent further catastrophe. First, she called on the warring parties to comply with international humanitarian law and stop targeting civilians. Second, she urged the international community to prevent atrocities like those witnessed in West Darfur from spreading to El Fasher. Finally, she appealed to donors to increase funding, with less than 50 per cent of the $2.7 billion humanitarian appeal met. She concluded by urging the Security Council to act decisively, stating that the upcoming high-level meetings during the General Assembly represent a crucial opportunity to address the conflict and support the people of Sudan....On 18 September, the Council held an open briefing to discuss the situation in El Fasher. Briefing on the humanitarian situation, Acting Under-Secretary-General for Humanitarian Affairs Joyce Msuya reported heavy shelling and aerial bombardment in the city, affecting civilians and civilian infrastructure, including health facilities and camps for internally displaced persons (IDPs). At the same meeting, Assistant Secretary-General for Africa in the Departments of Political and Peacebuilding Affairs and Peace Operations (DPPA-DPO) Martha Ama Akyaa Pobee noted that “a dangerous new reality has now emerged in the wake of the El Fasher escalation with grave and unpredictable ramifications”. She stressed that the escalation risks widening and entrenching the armed conflict, deepening ethnic polarisation of Sudanese society, and further destabilising the region. During the 18 September Council briefing, however, Russia argued that “it is crucial to involve all influential political forces and the country’s main ethno-confessional groups, including authoritative regional leaders”.",https://allafrica.com/stories/202409230001.html; https://www.securitycouncilreport.org/monthly-forecast/2024-10/sudan-30.php,MR
SUD202409-17,Sudan,625,,New York,USA,-73.9249,40.6943,20,9,2024,UN; Egypt; Qatar; Saudi Arabia; EU; AU; OCHA,IGO_49;CON_82;CON_486;CON_419;IGO_5;GP-6;GP-51,IGO_49; CON_82; CON_486; CON_419; IGO_5; ; ,; 651; 694; 670; ; ; ,7,Rosemary DiCarlo; Martin Griffiths; Faisal bin Farhan al-Saud; Sameh Shoukry; Lolwah Rashid Al-Khater; Moussa Faki; Filippo Grandi; Abdullah Al Rabeeah; Minata Samate Cessouma; Janez Lenarcic; Mirjana Spoljaric,,0,,0,,,"High-level Ministerial UNGA event - The Cost Of Inaction In Sudan: Working Together In Support Of The Humanitarian Situation In Sudan And The Region. On 20 September, the United Nations, the Governments of the Arab Republic of Egypt, the State of Qatar and the Kingdom of Saudi Arabia, the European Union and the African Union will convene a High-level side event on the margins of the 78th session of the United Nations General Assembly to Support the Humanitarian Response in Sudan and the Region.",https://www.justsecurity.org/100259/u-n-general-assembly-high-level-week-2024-what-experts-are-looking-for/; https://www.unocha.org/events/high-level-ministerial-sudan-and-region,MR
SUD202409-18,Sudan,625,,Virtual ,0, , ,21,9,2024,Saudi Arabia; Switzerland; Egypt; United Arab Emirates; United States; AU; UN,CON_419;CON_202;CON_82;CON_591;CON_3;GP-6;IGO_49,CON_419; CON_202; CON_82; CON_591; CON_3; ; IGO_49,670; 225; 651; 696; 2; ; ,7,,Aligned for Advancing Lifesaving and Peace in Sudan,0,,0,,,"On 21 September, the members of the Aligned for Advancing Lifesaving and Peace in Sudan (ALPS) Group—Egypt, Saudi Arabia, Switzerland, the United Arab Emirates (UAE), the US, the African Union (AU), and the UN—convened virtually. (The group was established at the recent round of talks led by the US in Switzerland from 14 to 23 August.) The members welcomed the opening of the Kassala and Dongola airports for World Food Programme (WFP) humanitarian assistance flights. They also welcomed the reports that humanitarian operations had resumed across conflict lines from Port Sudan through Shendi to Khartoum. They called on the international partners to join efforts to reach immediate humanitarian pauses in the fighting in El Fasher, Sennar, Khartoum, and Al Jazirah states.",https://www.securitycouncilreport.org/monthly-forecast/2024-10/sudan-30.php,MR
SUD202409-19,Sudan,625,,New York,USA,-73.9249,40.6943,22,9,2024,Egypt,CON_82,CON_82,651,1,Badr Abdelatty,,1,,0,,,"Egypt's Foreign Minister Badr Abdelatty met with his Sudanese counterpart, Hussein Awad Ali, on Sunday on the sidelines of the United Nations General Assembly. The meeting focused on the ongoing crisis in Sudan and the shared water security concerns of both nations. Abdelatty emphasized Egypt's continued commitment to supporting Sudan's unity, sovereignty, and territorial integrity, as well as finding a solution to the ongoing conflict that safeguards the Sudanese people. He stressed the need for a comprehensive ceasefire and the preservation of Sudan's resources. Abdelatty highlighted Egypt's efforts to facilitate the passage of aid trucks through border crossings connecting Egypt and Sudan. The two ministers also discussed the shared water security concerns of Egypt and Sudan, both downstream countries of the Nile River. They addressed the challenges both nations face in this regard and agreed to coordinate their efforts to counter any unilateral actions that violate international law, safeguarding the rights and interests of both countries and their peoples.",https://menafn.com/1108701552/Egyptian-FM-Sudanese-Counterpart-Discuss-Sudan-Crisis-Nile-Water-Security,MR
SUD202409-20,Sudan,625,,Washington,USA,-77.0163,38.9047,23,9,2024,United States; United Arab Emirates,CON_3;CON_591,CON_3; CON_591,2; 696,2,Joe Biden; Kamala Harris; Mohamed bin Zayed Al Nahyan,,0,,0,,,"Harris, along with President Joe Biden, will also meet with the president of the United Arab Emirates at the White House on Monday to discuss ongoing tensions in the Middle East, the crisis in Sudan and a “number of bilateral and regional matters,” Kirby said.... U.S. national security adviser Jake Sullivan said on Saturday that the conflict will be on the agenda when President Joe Biden meets with United Arab Emirates President Sheikh Mohammed bin Zayed Al Nahyan on Monday..... “On the regional, political or strategic (front) they’re obviously going to talk about Gaza and the relationship with Israel. They’re going to talk about Sudan. I expect that issues of Russia and Ukraine are going to come up. There will have to be something said about China, about the importance of having a relationship with China,” said Sebright....US President Joe Biden met UAE President Sheikh Mohamed bin Zayed Al Nahyan on Monday for talks on conflicts in the Middle East and Sudan -- despite concerns over the Gulf power's own role in the Sudan conflict. In a joint statement after their meeting, Biden and Sheikh Mohamed said they ""shared concern about the risk of imminent atrocities"" as fighting continues in Sudan's war-torn Darfur region. The two leaders also called for an ""immediate"" ceasefire in the brutal civil war between Sudan's army and the paramilitary Rapid Support Forces (RSF), and a return to the political process. But their statement made no reference to the fact that Sudan has repeatedly accused the UAE itself of backing the RSF, which the United States accuses of carrying out crimes against humanity and ethnic cleansing in Darfur. Instead the statement said that ""all parties to the conflict (in Sudan) must comply with their obligations under international humanitarian law."" Harris, who met the UAE president separately, ""raised her deep concerns about the conflict in Sudan,"" her office said. ....US Congress members are pressuring President Joe Biden to speak with his United Arab Emirates counterpart about the Gulf state’s suspected role in the war in Sudan.",https://www.cnn.com/2024/09/18/politics/harris-zelensky-meeting/; https://www.yahoo.com/news/harris-expected-meet-zelensky-next-225710122.html; https://www.yahoo.com/news/un-chief-guterres-gravely-alarmed-161508440.html; https://www.khaleejtimes.com/uae/uae-president-on-historic-visit-to-us-whats-on-the-agenda-top-official-reveals; https://www.albawaba.com/news/uae-president-mohamed-bin-zayed-meets-us-1586555; https://www.al-monitor.com/originals/2024/09/biden-harris-meet-uae-leader-sudan-middle-east; https://news.az/news/biden-and-harris-meet-uae-leader-to-discuss-sudan-and-gaza; https://thepeninsulaqatar.com/article/24/09/2024/biden-harris-meet-uae-leader-on-sudan-gaza; https://menafn.com/1108706642/Biden-Harris-Meet-UAE-Leader-On-Sudan-Gaza; https://www.thehindu.com/news/international/biden-harris-meet-uae-leader-sheikh-mohamed-bin-zayed-on-sudan-middle-east/article68676408.ece; https://www.standardmedia.co.ke/asia/article/2001503301/biden-harris-meet-uae-leader-on-middle-east-sudan; https://www.newarab.com/news/us-reps-ask-biden-raise-issue-uae-role-sudan-war,MR
SUD202409-21,Sudan,625,,New York,USA,-73.9249,40.6943,24,9,2024,Ethiopia; UN; DPPA,CON_159;IGO_49;GP-20,CON_159; IGO_49; ,530; ; ,3,Rosemary DiCarlo,,0,,0,,,"Ambassador Taye Atske-Selassie, Ethiopia's Foreign Minister, has expressed concern over the recent arms shipments to Somalia, stating that they could ""further exacerbate the fragile security"" in the region. During a meeting with UN Undersecretary-General Rosemary DiCarlo in New York, Minister Taye warned that the ""supply of ammunition by external forces would further exacerbate the fragile security and would end up in the hands of terrorists."" As reported by Ethiopia's Ministry of Foreign Affairs, the discussion took place on the sidelines of the 79th UN General Assembly session. The Minister of Foreign Affairs reported that the Ethiopian Foreign Minister also discussed the situation in Sudan, highlighting Ethiopia's advocacy for a political solution to the ongoing crisis. He noted that Ethiopia has been ""advocating for a political solution to the ongoing crisis in Sudan.""",https://allafrica.com/stories/202409240313.html,MR
SUD202409-22,Sudan,625,,New York,USA,-73.9249,40.6943,24,9,2024,Egypt; Canada,CON_82;CON_11,CON_82; CON_11,651; 20,2,Badr Abdelatty; Melanie Joly,,0,,0,,,"Minister of Foreign Affairs, Emigration and Egyptian Expatriates Badr Abdelatty discussed with Canadian Minister of Foreign Affairs Mélanie Joly the strong bilateral relations between Egypt and Canada as they are getting ready to celebrate the 70th anniversary of their establishment of diplomatic relations this year. This came during a meeting they held on the sidelines of the high-level segment of the 79th session of the United Nations General Assembly in New York, according to a statement by the foreign ministry. The two top diplomats' talks also tackled the crisis in Sudan and the unjustified Israeli military escalations against Lebanon.",https://allafrica.com/stories/202409240528.html,MR
SUD202409-23,Sudan,625,,New York,USA,-73.9249,40.6943,25,9,2024,EU; Germany; France,IGO_5;CON_2;CON_7,IGO_5; CON_2; CON_7,; 255; 220,3,Joseph Borrell,,0,,0,,,"On Wednesday, High Representative Borrell will co-host a Ministerial meeting on Sudan 'United for Peace in Sudan', together with Germany and France.",https://www.miragenews.com/eu-at-un-to-boost-global-cooperation-1321163/,MR
