id,GLOPAD_ID,PAAX_ID,ActorName,GW_ID,org_region,actor_classification,actor_classification_glopad,other_glopad_id
89,CON_94,CON_94,Ghana,452,,Country/State,Country/State,GP-985
90,CON_93,CON_93,Mali,432,,Country/State,Country/State,GP-990
91,NGO_95,NGO_95,Community of Sant' Egidio,,,,Civil Society,
92,NGO_96,NGO_96,Catholic Church,,,,Civil Society,
93,CON_97,CON_97,Mozambique,541,,Country/State,Country/State,
94,CON_99,CON_99,Sierra Leone,451,,Country/State,Country/State,
95,POL_122,POL_122,BATZARRE ZUTIK (Batzarre),230,,,Political Party,
96,NGO_121,NGO_121,Euskal Herriko Nekazarien Elkartasuna,230,,,Civil Society,
97,POL_115,POL_115,Partido Nacionalista Vasco,230,,,Political Party,
98,NGO_119,NGO_119,Eusko Langileen Alkartasuna,230,,,Civil Society,
99,POL_116,POL_116,Eusko Alkartasuna,230,,,Political Party,
100,POL_114,POL_114,National Unity,230,,,Political Party,
101,NGO_120,NGO_120,Langile Abertzaleen Batzordeak,230,,,Civil Society,
102,NGO_112,NGO_112,STEE-ELIAS,230,,,Civil Society,
103,OTH_101,OTH_101,GOGOA,230,,,Other,
104,NGO_102,NGO_102,Amnistiaren Aldeko Batzordeak,230,,,Civil Society,
105,NGO_103,NGO_103,Senideak,230,,,Civil Society,
106,NGO_104,NGO_104,Bakea Orain (Peace Now),230,,,Civil Society,
107,NGO_105,NGO_105,Gernika Batzordea,230,,,Civil Society,
108,NGO_113,NGO_113,Ezker Sindikalaren Koordinakundea-Coordinadora Unitaria de Izquierda Sindical,230,,,Civil Society,
109,POL_117,POL_117,Izquierda Unida,230,,,Political Party,
110,NGO_111,NGO_111,Ezker Sindikalaren Konbergentzia ,230,,,Civil Society,
111,NGO_110,NGO_110,Elkarri,230,,,Civil Society,
112,NGO_109,NGO_109,Auto-Determinazioren Bilzarrak,230,,,Civil Society,
113,NGO_108,NGO_108,Hiru,230,,,Civil Society,
114,NGO_106,NGO_106,Egizan,230,,,Civil Society,
115,NGO_107,NGO_107,Herria 2000 Eliza (aldizkaria),230,,,Civil Society,
116,POL_130,POL_130,United Somali Party,520,,,Political Party,
117,CON_139,CON_139,Italy,325,,Country/State,Country/State,
118,CON_142,CON_142,Niger,436,,Country/State,Country/State,
119,ENT_409,ENT_409,Guadalcanal Province,940,,,Entity,
120,OTH_853,OTH_853,Guadalcanal Provincial Government,940,,,Other,
121,ENT_413,ENT_413,Malaita Province,940,,,Entity,
122,CON_279,CON_279,Solomon Islands,940,,Country/State,Country/State,
123,CON_146,CON_146,Nepal,790,,Country/State,Country/State,
124,POL_145,POL_145,Communist Party of Nepal (Maoist Centre),790,,,Political Party,
125,POL_149,POL_149,Nepal Sadbhavana Party,790,,,Political Party,
126,POL_148,POL_148,Nepali Congress,790,,,Political Party,
127,POL_147,POL_147,Communist Party of Nepal (Unified Marxist–Leninist),790,,,Political Party,
128,POL_150,POL_150,Nepal Majdoor Kisan Party,790,,,Political Party,
129,POL_154,POL_154,Nepal Workers' and Peasants' Party,790,,,Political Party,
130,POL_153,POL_153,Nepal Socialist Party,790,,,Political Party,
131,POL_151,POL_151,People's Front Nepal,790,,,Political Party,
132,CON_157,CON_157,Chad,483,,Country/State,Country/State,
133,CON_158,CON_158,Sudan,625,,Country/State,Country/State,
134,CON_159,CON_159,Ethiopia,530,,Country/State,Country/State,
135,CON_160,CON_160,Philippines,840,,Country/State,Country/State,
136,NGO_164,NGO_164,Centre for Humanitarian Dialogue,,,,Civil Society,
137,CON_162,CON_162,Indonesia,850,,Country/State,Country/State,
138,OTH_167,OTH_167,Joint Committee on Security Modalities,850,,,Other,
139,OTH_165,OTH_165,Aceh Police,850,,,Other,
140,OTH_166,OTH_166,Joint Committee on Humanitarian Action,850,,,Other,
141,CON_169,CON_169,Ireland,205,,Country/State,Country/State,
142,ENT_170,ENT_170,Northern Ireland,200,,,Entity,
143,CON_171,CON_171,Finland,375,,Country/State,Country/State,
144,CON_173,CON_173,South Sudan,626,,Country/State,Country/State,
145,CON_172,CON_172,Kenya,501,,Country/State,Country/State,
146,CON_174,CON_174,Tanzania,510,,Country/State,Country/State,
147,CON_176,CON_176,Uganda,500,,Country/State,Country/State,
148,CON_179,CON_179,Ecuador,130,,Country/State,Country/State,
149,CON_177,CON_177,Chile,155,,Country/State,Country/State,
150,CON_178,CON_178,Peru,135,,Country/State,Country/State,
151,CON_181,CON_181,Colombia,100,,Country/State,Country/State,
152,GOV_1140,GOV_1140,Medellín,100,,,Government/state,
153,GOV_1141,GOV_1141,Antioquia,100,,,Government/state,
154,NGO_184,NGO_184,Episcopal Conference of Colombia,100,,,Civil Society,
155,POL_187,POL_187,Spanish Socialist Workers Party,230,,,Political Party,
156,CON_306,CON_306,Guatemala ,90,,Country/State,Country/State,
157,POL_191,POL_191,Political Parties,100,,,Political Party,
158,NGO_192,NGO_192,World Council of Indigenous Peoples,,,,Civil Society,
159,NGO_193,NGO_193,Spanish Human Rights Association,230,,,Civil Society,
160,POL_194,POL_194,Revolutionary Worker’s Party,100,,,Political Party,
161,OTH_1143,OTH_1143,National Peace Committee,100,,,Other,
162,NGO_1142,NGO_1142,Civil Society,100,,,Civil Society,
163,OTH_1272,OTH_1272,Episcopalian Conference of Germany and Colombia,,,,Civil Society,
164,NGO_1193,NGO_1193,Indigenous peoples representatives,100,,,Civil Society,
165,OTH_1276,OTH_1276,Exploratory Commission for Peace,100,,,Other,
166,OTH_199,OTH_199,Socialist International,,,,Civil Society,
167,CON_203,CON_203,Cuba,40,,Country/State,Country/State,
168,NGO_201,NGO_201,International Committee of the Red Cross,,,,Civil Society,
169,CON_202,CON_202,Switzerland,225,,Country/State,Country/State,
170,NGO_188,NGO_188,Religious Representatives,100,,,Civil Society,
171,OTH_206,OTH_206,International Community,,,,Other,
172,NGO_1273,NGO_1273,Peasant workers and farmworkers (South of Bolivar),100,,,Civil Society,
173,POL_217,POL_217,Dikwankwetla Party,560,,,Political Party,
174,POL_219,POL_219,Inyandza National Movement,560,,,Political Party,
175,POL_220,POL_220,Labour Party SA,560,,,Political Party,
176,CON_221,CON_221,South Africa,560,,Country/State,Country/State,
177,POL_218,POL_218,Intando Yesizwe Party,560,,,Political Party,
178,ENT_216,ENT_216,Transkei Govt,560,,,Entity,
179,POL_223,POL_223,Natal / Tvl Indian Congress,560,,,Political Party,
180,POL_224,POL_224,National Party,560,,,Political Party,
181,POL_225,POL_225,National People's Party,560,,,Political Party,
182,POL_222,POL_222,African National Congress,560,,,Political Party,
183,ENT_215,ENT_215,Venda Govt,560,,,Entity,
184,POL_212,POL_212,Democratic Party,560,,,Political Party,
185,ENT_213,ENT_213,Bophuthatswana Govt,560,,,Entity,
186,POL_211,POL_211,United People's Front,560,,,Political Party,
187,POL_210,POL_210,Inkatha Freedom Party,560,,,Political Party,
188,POL_209,POL_209,SA Communist Party,560,,,Political Party,
189,POL_208,POL_208,Solidarity,560,,,Political Party,
190,POL_214,POL_214,Ximoko Progressive Party,560,,,Political Party,
191,IGO_226,IGO_226,Organisation of Islamic Cooperation,,,International IGO,International IGO,
192,CON_228,CON_228,Morocco,600,,Country/State,Country/State,
193,OTH_231,OTH_231,Liberia National Conference,450,,,Other,
194,POL_243,POL_243,Democratic Party of Ivory Coast – African Democratic Rally,437,,,Political Party,
195,POL_239,POL_239,Ivorian Workers' Party,437,,,Political Party,
196,POL_242,POL_242,Union for Democracy and Peace in Ivory Coast,437,,,Political Party,
197,POL_245,POL_245,Citizens' Democratic Union,437,,,Political Party,
198,POL_236,POL_236,Movement of the Forces of the Future,437,,,Political Party,
199,CON_247,CON_247,Cambodia,811,,Country/State,Country/State,
200,POL_246,POL_246,FUNCINPEC,811,,,Political Party,
201,CON_248,CON_248,Djibouti,522,,Country/State,Country/State,
202,OTH_1151,OTH_1151,Monitoring Commission of the Douala Appeal ,484,,,Other,
203,IGO_250,IGO_250,World Peace Council,,,International IGO,International IGO,
204,POL_322,POL_322,Rally for the People of Burundi,516,,,Political Party,
205,POL_332,POL_332,Party for National Recovery,516,,,Political Party,
206,POL_327,POL_327,Liberal Party,516,,,Political Party,
207,POL_331,POL_331,People's Reconciliation Party,516,,,Political Party,
208,POL_328,POL_328,Rally for Democracy and Economic and Social Development,516,,,Political Party,
209,CON_253,CON_253,Burundi,516,,Country/State,Country/State,
210,POL_325,POL_325,Pan Africanist Socialist Movement-Inkinzo,516,,,Political Party,
211,POL_319,POL_319,Independent Labor Party,516,,,Political Party,
212,POL_320,POL_320,Union for National Progress,516,,,Political Party,
213,POL_321,POL_321,Front for Democracy in Burundi,516,,,Political Party,
214,CON_255,CON_255,Algeria,615,,Country/State,Country/State,
215,CON_260,CON_260,Angola,540,,Country/State,Country/State,
216,CON_259,CON_259,Portugal,235,,Country/State,Country/State,
217,CON_264,CON_264,"Congo, Democratic Republic of the",490,,Country/State,Country/State,
218,CON_267,CON_267,Botswana,571,,Country/State,Country/State,
219,CON_268,CON_268,Mexico,70,,Country/State,Country/State,
220,CON_397,CON_397,Nicaragua,93,,Country/State,Country/State,
221,NGO_270,NGO_270,Cardinal Miguel Obando Bravo,93,,,Civil Society,
222,OTH_1271,OTH_1271,Standing Committee of the Horn,,,,Other,
223,CON_272,CON_272,Eritrea,531,,Country/State,Country/State,
224,CON_273,CON_273,North Korea,731,,Country/State,Country/State,
225,IGO_274,IGO_274,United Nations Observer Mission in Bougainville (UNOMB),,,International IGO,International IGO,
226,CON_277,CON_277,Australia,900,,Country/State,Country/State,
227,ENT_275,ENT_275,Chechen Republic,365,,,Entity,
228,CON_276,CON_276,New Zealand,920,,Country/State,Country/State,
229,CON_278,CON_278,Vanuatu,935,,Country/State,Country/State,
230,CON_280,CON_280,Tonga,953,,Country/State,Country/State,
231,CON_282,CON_282,Papua New Guinea,910,,Country/State,Country/State,
232,CON_281,CON_281,Fiji,950,,Country/State,Country/State,
233,OTH_284,OTH_284,USAID,2,,,Other,
234,CON_285,CON_285,Libya,620,,Country/State,Country/State,
235,ENT_286,ENT_286,Chittagong Hill Tracts,771,,,Entity,
236,CON_287,CON_287,Bangladesh,771,,Country/State,Country/State,
237,CON_288,CON_288,Afghanistan,700,,Country/State,Country/State,
238,CON_289,CON_289,Iran (Islamic Republic of),630,,Country/State,Country/State,
239,CON_290,CON_290,Cameroon,471,,Country/State,Country/State,
240,IGO_386,IGO_386,UN Secretary General,,,International IGO,International IGO,
241,OTH_1010,OTH_1010,Philippines National Police,840,,,Other,
242,CON_295,CON_295,Thailand,800,,Country/State,Country/State,
243,CON_294,CON_294,Japan,740,,Country/State,Country/State,
244,POL_305,POL_305,Democratic Kampuchea,811,,,Political Party,
245,CON_296,CON_296,Singapore,830,,Country/State,Country/State,
246,CON_297,CON_297,Vietnam,816,,Country/State,Country/State,
247,CON_292,CON_292,Brunei,835,,Country/State,Country/State,
248,CON_298,CON_298,Laos,812,,Country/State,Country/State,
249,CON_300,CON_300,El Salvador,92,,Country/State,Country/State,
250,CON_301,CON_301,Sri Lanka,780,,Country/State,Country/State,
251,CON_304,CON_304,Yemen,678,,Country/State,Country/State,
252,OTH_303,OTH_303,Presidential Council,678,,,Other,
253,OTH_340,OTH_340,National Reconciliation Commission,90,,,Other,
254,OTH_360,OTH_360,Political and Diplomatic Commission,90,,,Other,
255,POL_310,POL_310,Yemeni Socialist Party,678,,,Political Party,
256,POL_311,POL_311,General People's Congress,678,,,Political Party,
257,OTH_654,OTH_654,GRP Peace Panel,840,,,Government/state,
258,OTH_1152,OTH_1152,Gaddafi International Foundation for Charitable Associations,,,,Other,
259,OTH_1267,OTH_1267,MILF Peace Panel,840,,,Other,
260,NGO_1095,NGO_1095,Rome Group,700,,,Civil Society,
261,IGO_312,IGO_312,Intergovernmental Authority on Development,,Africa,Regional IGO,Regional IGO,
262,CON_316,CON_316,Venezuela,101,,Country/State,Country/State,
263,IGO_315,IGO_315,UN General Assembly,,,International IGO,International IGO,
264,OTH_1189,OTH_1189,Individual,910,,,Other,
265,POL_326,POL_326,People's Party,516,,,Political Party,
266,POL_323,POL_323,National Alliance for Law and Economic Development,516,,,Political Party,
267,OTH_337,OTH_337,Mwalimu Nyerere Foundation,,,,Civil Society,
268,IGO_338,IGO_338,La Francophonie,,,International IGO,International IGO,
269,CON_339,CON_339,Rwanda,517,,Country/State,Country/State,
270,CON_335,CON_335,Zambia,551,,Country/State,Country/State,
271,POL_329,POL_329,Alliance of the Valiant,516,,,Political Party,
272,POL_330,POL_330,Palipehutu,516,,,Political Party,
273,POL_334,POL_334,Burundo-African Alliance for Salvation,516,,,Political Party,
274,OTH_1154,OTH_1154,International Police Task Force,346,,,Other,
275,POL_342,POL_342,Bougainville Peoples Congress,910,,,Entity,
276,ENT_341,ENT_341,Bougainville Interim Provincial Government,910,,,Entity,
277,NGO_344,NGO_344,Bougainville Women,910,,,Civil Society,
278,ENT_345,ENT_345,Bougainville Transitional Government,910,,,Entity,
279,ENT_356,ENT_356,Bougainville,910,,,Entity,
280,CON_358,CON_358,Somalia,520,,Country/State,Country/State,
281,IGO_347,IGO_347,Nonaligned Movement,,,International IGO,International IGO,
282,IGO_346,IGO_346,League of Arab States,,Africa,Regional IGO,Regional IGO,
283,CON_348,CON_348,Serbia,340,,Country/State,Country/State,
284,CON_350,CON_350,Zimbabwe,552,,Country/State,Country/State,
285,IGO_349,IGO_349,Southern African Development Community,,Africa,Regional IGO,Regional IGO,
286,IGO_352,IGO_352,Community of Portuguese-Speaking Countries,,,International IGO,International IGO,
287,CON_353,CON_353,São Tomé and Príncipe,403,,Country/State,Country/State,
288,CON_354,CON_354,Cape Verde,402,,Country/State,Country/State,
289,IGO_355,IGO_355,United Nations Protection Force (UNPROFOR),,,International IGO,International IGO,
290,COA_1279,COA_1279,IGAD Partners Forum,,,,State Coalition,
291,POL_362,POL_362,Liberia National Union,450,,,Political Party,
292,POL_363,POL_363,Equal Rights Party,450,,,Political Party,
293,POL_370,POL_370,Free Democracy Party,450,,,Political Party,
294,POL_369,POL_369,National Reform Party,450,,,Political Party,
295,POL_368,POL_368,Progressive Peoples Party,450,,,Political Party,
296,POL_367,POL_367,Reformation Alliance Party,450,,,Political Party,
297,POL_364,POL_364,United People's Party,450,,,Political Party,
298,POL_378,POL_378,People's Democratic Party,450,,,Political Party,
299,OTH_371,OTH_371,Inter-religious Council for Liberia,450,,,Civil Society,
300,OTH_372,OTH_372,Mano River Women Peace Network,450,,,Civil Society,
301,POL_373,POL_373,New Deal Movement,450,,,Political Party,
302,POL_374,POL_374,National Democratic Party,450,,,Political Party,
303,OTH_375,OTH_375,Liberia Leadership Forum,450,,,Other,
304,POL_376,POL_376,Liberian Action Party,450,,,Political Party,
305,POL_366,POL_366,All-Liberian Coalition Party,450,,,Political Party,
306,POL_365,POL_365,True Whig Party,450,,,Political Party,
307,POL_379,POL_379,National Patriotic Party,450,,,Political Party,
308,POL_380,POL_380,Unity Party,450,,,Political Party,
309,POL_381,POL_381,Liberians People's Party,450,,,Political Party,
310,POL_382,POL_382,Labor Party,450,,,Political Party,
311,POL_383,POL_383,Liberia Unification Party,450,,,Political Party,
312,OTH_384,OTH_384,Liberian Bar Association,450,,,Civil Society,
313,OTH_385,OTH_385,Liberians in Diaspora,450,,,Civil Society,
314,CON_387,CON_387,Mauritania,435,,Country/State,Country/State,
315,NGO_390,NGO_390,Turkmen,,,,Civil Society,
316,NGO_389,NGO_389,Sunni,,,,Civil Society,
317,NGO_388,NGO_388,Shi'a,,,,Civil Society,
318,NGO_1081,NGO_1081,Women's Representative,,,,Civil Society,
319,IGO_391,IGO_391,United Nations Secretariat,,,International IGO,International IGO,
320,CON_392,CON_392,Malawi,553,,Country/State,Country/State,
321,ENT_534,ENT_534,Puntland,520,,,Entity,
322,CON_395,CON_395,Pakistan,770,,Country/State,Country/State,
323,CON_394,CON_394,Romania,360,,Country/State,Country/State,
324,POL_396,POL_396,Democratic Party of Ivory Coast,437,,,Political Party,
325,POL_401,POL_401,Pro-Integration Party,860,,,Political Party,
326,OTH_398,OTH_398,East Timor Police Force,860,,,Other,
327,CON_399,CON_399,East Timor,860,,Country/State,Country/State,
328,NGO_1078,NGO_1078,Women's Association,516,,,Civil Society,
329,POL_403,POL_403,Democratic Party of Albanians,339,,,Political Party,
330,POL_404,POL_404,Social Democratic Union of Macedonia,343,,,Political Party,
331,OTH_1153,OTH_1153,High Representative for Bosnia and Herzegovina,,,,Other,
332,IGO_405,IGO_405,United Nations Mission in Bosnia and Herzegovina (UNMIBH),,,International IGO,International IGO,
333,OTH_1155,OTH_1155,Peace Monitoring Group,910,,,Other,
334,IGO_406,IGO_406,North Atlantic Treaty Organization,,,International IGO,International IGO,
335,IGO_410,IGO_410,Commonwealth of Nations,,,International IGO,International IGO,
336,ENT_411,ENT_411,Choiseul Province,940,,,Entity,
337,ENT_412,ENT_412,Central Islands Province,940,,,Entity,
338,ENT_1268,ENT_1268,Autonomous Region in Muslim Mindanao,840,,,Entity,
339,NGO_416,NGO_416,Forces Vives of the Nation ,490,,,Civil Society,
340,POL_893,POL_893,Political Opposition,490,,,Political Party,
341,ENT_418,ENT_418,Kosovo,347,,,Entity,
342,CON_419,CON_419,Saudi Arabia,670,,Country/State,Country/State,
343,POL_445,POL_445,Jamayat-E-Islami,700,,,Political Party,
344,POL_442,POL_442,Harkat-e-Inquilab-e-Islami,700,,,Political Party,
345,POL_448,POL_448,National Islamic Front of Afghanistan,700,,,Political Party,
346,POL_446,POL_446,Ittehad-e-Islami,700,,,Political Party,
347,OTH_1156,OTH_1156,Leitana Council of Elders,910,,,Other,
348,NGO_1157,NGO_1157,Christian delegates,850,,,Civil Society,
349,NGO_1158,NGO_1158,Muslim delegates,850,,,Civil Society,
350,ENT_900,ENT_900,Transdniestria,359,,,Entity,
351,POL_449,POL_449,Central African Democratic Rally,482,,,Political Party,
352,NGO_434,NGO_434,Evangelical Baptist Church in the Central African Republic,482,,,Civil Society,
353,NGO_433,NGO_433,Central African Islamic community,,,,Civil Society,
354,POL_432,POL_432,Patritotic Front for Progress,482,,,Political Party,
355,NGO_428,NGO_428,FNEC,482,,,Civil Society,
356,POL_422,POL_422,Movement for the Liberation of the Central African People,482,,,Political Party,
357,NGO_423,NGO_423,OFCA,482,,,Civil Society,
358,POL_424,POL_424,Movement for Democracy and Development,482,,,Political Party,
359,NGO_429,NGO_429,KOLI-OUALI GALA,482,,,Civil Society,
360,POL_426,POL_426,Alliance for Democracy and Progress,482,,,Political Party,
361,POL_427,POL_427,Civic Forum,482,,,Political Party,
362,NGO_425,NGO_425,Trade Unions,482,,,Civil Society,
363,IGO_440,IGO_440,United Nations Human Rights Council,,,International IGO,International IGO,
364,IGO_436,IGO_436,European Commission,,Europe,Regional IGO,Regional IGO,
365,IGO_437,IGO_437,World Bank,,,International IGO,International IGO,
366,IGO_438,IGO_438,International Monetary Fund,,,International IGO,International IGO,
367,IGO_439,IGO_439,African Development Bank,,Africa,Regional IGO,Regional IGO,
368,IGO_439,IGO_439,African Development Bank,,Africa,Regional IGO,Regional IGO,
369,CON_441,CON_441,Belgium,211,,Country/State,Country/State,
370,POL_444,POL_444,Etelaf-e Milli,700,,,Political Party,
371,POL_443,POL_443,Hezbe Wahdat,700,,,Political Party,
372,NGO_451,NGO_451,Religious Denominations,482,,,Civil Society,
373,NGO_450,NGO_450,"Human rights, justice and democracy groups",482,,,Civil Society,
374,NGO_453,NGO_453,Aga Khan Foundation,,,,Civil Society,
375,IGO_454,IGO_454,United Nations Mission of Observers in Tajikistan (UNMOT),,,International IGO,International IGO,
376,NGO_457,NGO_457,San Miguel Community,70,,,Civil Society,
377,CON_458,CON_458,South Korea,732,,Country/State,Country/State,
378,IGO_459,IGO_459,United Nations Children's Fund,,,International IGO,International IGO,
379,POL_464,POL_464,South Sudan United Democratic Front,626,,,Political Party,
380,OTH_463,OTH_463,South Sudan Independents Group,626,,,Other,
381,OTH_466,OTH_466,Liberia Council,450,,,Other,
382,POL_1074,POL_1074,NI Women's Coalition,,,,Civil Society,
383,POL_473,POL_473,The Alliance Party of Northern Ireland,,,,Political Party,
384,POL_472,POL_472,Sinn Fein,,,,Political Party,
385,POL_471,POL_471,NI Labour Coalition,,,,Political Party,
386,POL_470,POL_470,Ulster Unionist Party,,,,Political Party,
387,POL_469,POL_469,Ulster Democratic Party,,,,Political Party,
388,POL_468,POL_468,Progressive Unionist Party,,,,Political Party,
389,POL_467,POL_467,Social Democratic Labour Party,,,,Political Party,
390,OTH_474,OTH_474,Philippine Peace Center,840,,,Civil Society,
391,OTH_478,OTH_478,Officers,482,,,Other,
392,OTH_477,OTH_477,International Monitoring Committee,482,,,Other,
393,IGO_480,IGO_480,United Nations Observer Mission in Georgia (UNOMIG),,,International IGO,International IGO,
394,ENT_862,ENT_862,Moheli,581,,,Entity,
395,CON_485,CON_485,Comoros,581,,Country/State,Country/State,
396,ENT_1160,ENT_1160,Ngazidja,581,,,Entity,
397,IGO_483,IGO_483,Indian Ocean Commission,,Asia,Regional IGO,Regional IGO,
