level_0,id_paax,actor_type,sub_type,cs_type,international,regional,domestic,un_type,iso3c,country_name,actor_id,actor_name,abbreviation,alt_names
old,CON_18,Country/State,,,,,,,BHR,Bahrain,18.0,Bahrain,BAH,Bahrain | BAHRAIN | Bahrain | Bahrain Chamber Commerce Industry | Kingdom Bahrain
old,CON_19,Country/State,,,,,,P5,GBR,United Kingdom,19.0,United Kingdom,UKG,United Kingdom | UNITED KINGDOM | Britain | Great Britain | UK | United Kingdom | UNITED KINGDOM | United Kingdom Great Britain | United Kingdom of Great Britain and Northern Ireland | United Kingdom | British Government | United Kingdom  Government | United Kingdom Government
old,CON_20,Country/State,,,,,,P5,CHN,China,20.0,China,CHN,China | CHINA | China | People's Republic China | People's Republic China  Plenipotentiary | People Republic China | China | Ministers Foreign Affairs China | People Ã¢â‚¬â„¢s Republic China | Peoples Republic China | People Ã¢â‚¬â„¢s Republic China  Plenipotentiary
old,CON_21,Country/State,,,,,,P5,RUS,Russia,21.0,Russia,RUS,Russia (Soviet Union) | RUSSIAN FEDERATION | Russia | Russian Federation | RUSSIAN FEDERATION | Russian Federation - B. YELTSIN | Russian Federation Plenipotentiary | Russian Federation ( Facilitator | Russian Federation : | Russian Federation : Mikhailov | Russian Federation A. Kozirev | Russian Federation A. Shokhin | RUSSIAN FEDERATION ANGOLA | Russian Federation Federal Assembly | Russian Federation P. S. Grachev | Russian Federation Representative Sergey Viktorovich Lavrov | USSR  | Council of Federation of Russia | Russian Ministry of Foreign Affairs | Union of Soviet Socialist Republics | Soviet Union | Russian | Russia | Governments Russian Federation | Ministry Defence Russian Federation : P | Russian Federation Government | Russian Government | Russian Ministry Foreign Affairs | Russian Federation :  Mikhailov | Russian Federation  Plenipotentiary | Russian Federation V.V.Putin | V. V. Putin
old,CON_22,Country/State,,,,,,, ,Yugoslavia,22.0,Yugoslavia,YUG,Yugoslavia | YUGOSLAVIA | Federal Republic Yugoslavia | Medical Service Yugoslav People Ã¢â‚¬â„¢s Army | National Defence Government Socialist Federative Republic Yugoslavia | Socialist Federal Republic Yugoslavia | Socialist Federative Republic Yugoslavia | Yugoslav Army | Yugoslav People Army | Yugoslav Peoples Army | Yugoslav Republic Macedonia | Yugoslavia | SFRY | SFRY republics
old,POL_23,Political Party,,,,,,,GAB,Gabon,23.0,Progress Party of Gabon,PGP,
old,POL_24,Political Party,,,,,,,GAB,Gabon,24.0,People’s Socialist Emancipation Movement,MESP,
old,POL_25,Political Party,,,,,,,GAB,Gabon,25.0,African Forum for Reconstruction,FAR,
old,POL_26,Political Party,,,,,,,GAB,Gabon,26.0,National Recovery Movement,MORENA,
old,POL_27,Political Party,,,,,,,GAB,Gabon,27.0,Democratic & Republican Alliance,ADERE,
old,POL_28,Political Party,,,,,,,GAB,Gabon,28.0,Independent Centre Party of Gabon,PGCI,
old,POL_29,Political Party,,,,,,,GAB,Gabon,29.0,Democratic Justice Congress,CDJ,
old,POL_30,Political Party,,,,,,,GAB,Gabon,30.0,Democratic Party of Gabon,PDG,
old,POL_31,Political Party,,,,,,,GAB,Gabon,31.0,Social Democratic Party,PSD,
old,POL_32,Political Party,,,,,,,GAB,Gabon,32.0,United People’s Party,PUP-CRISE,
old,POL_33,Political Party,,,,,,,GAB,Gabon,33.0,Liberal Reform Convention,CLR,
old,POL_34,Political Party,,,,,,,GAB,Gabon,34.0,National Assembly of Foresters,RNB,
old,POL_35,Political Party,,,,,,,GAB,Gabon,35.0,Gabon People’s Union,UPG,
old,UMB_36,Umbrella,,,,,,,GAB,Gabon,36.0,Political Groups,,
old,POL_37,Political Party,,,,,,,GAB,Gabon,37.0,Radical Independent Republican Party,PARI,
old,POL_38,Political Party,,,,,,,GAB,Gabon,38.0,Gabon Association for Socialism,APSG,
old,POL_39,Political Party,,,,,,,GAB,Gabon,39.0,Unity People’s Party,PUP,
old,POL_40,Political Party,,,,,,,GAB,Gabon,40.0,Socialist Union of Gabon,USG,
old,CON_41,Country/State,,,,,,,BEN,Benin,41.0,Benin,BEN,Benin | BENIN | Republic BENIN | Republic Benin | Republic Benin  Mr FranÃƒÆ’Ã‚Â§ois | Republic of Benin | Republic Benin  Mr FranÃƒÂ§ois
old,CON_42,Country/State,,,,,,,COG,"Congo, Republic of the",42.0,Congo,CON,"Congo | CONGO, REPUBLIC OF | Republic of the Congo | Republic Congo"
old,IGO_43,Intergovernmental Organization,Regional,,,1.0,,,,,43.0,Organization of African Unity,OAU,Organisation De L'UnitÃ© Africaine || Organization Of African Unity || OUA || OAU || Organisation Of African Unity |  Organization Of African Unity  |  OUA  | Organisation Of African Unity | Organization of African Unity | Org for African Unity | Organization for African Unity | Organisation for African Unity | Organization African Unity | Organization African Unity  OFFICE FORUM | Organisation African Unity | OAU Representative
old,CON_44,Country/State,,,,,,,GIN,Guinea,44.0,Guinea ,GUI,Guinea | GUINEA | Guinea | Republic Guinea | Republic GUINEA | Republic Guinea - Bissau
old,CON_45,Country/State,,,,,,,GEO,Georgia,45.0,Georgia,GRG,Georgia | GEORGIA | Georgia | GEORGIA | Georgia - E. SHEVARDNADZE | Georgia Germany | Georgia I. Menagarishvili | Georgia V. Goguadze | Republic Georgia | Republic Georgia E. A. Shevardnadze | Republic Georgia O. Patsatsia
old,ENT_46,Entity,,,,,,,GEO,Georgia,46.0,Abkhazia,,
old,ENT_47,Entity,,,,,,,RUS,Russia,47.0,North Caucasian,,
old,IGO_48,Intergovernmental Organization,Regional,,,1.0,,,,,48.0,Conference on Security and Cooperation in Europe,CSCE,Helsinki Agreement | Helsinki Declaration | CSCE | Conference on Security and Cooperation in Europe
old,IGO_49,Intergovernmental Organization,,,1.0,,,United Nations,,,49.0,United Nations (General),UN,"United Nations || U.N. || UN | United Nations Representative | United Nations | UNITED NATIONS | United nations | United Nations - WILFRID | United Nations Babacar Gaye | United Nations Certified | United Nations H.E. | United Nations H.E. Yoweri | United Nations International Committee Red Cross International Federation Red Cross | UN Organization Chaired | United Nations Representative Organization Security Cooperation | United Nations Signed | United Nations USA Countries | United Nations , Economic Cooperation Organization | United Nations' Multidimensional Integrated Stabilization Mission | UNITED NATIONS COLOMBIA | UN Ad Litem | UN BH COMMAND | UN E. Brunner | UN Peace Monitoring Group Bougainville | United Nations Special Envoy | Untied Nations | The UN | U.N | U.N. | The U.N | UNA | United Nations Office | United Nations Organisation | United Nations Organization | United Nations Peace Forces | United Nations | Office United Nations | UN | UN & EC | United Nations  |  U.N.  |  UN | UN | United Nations | United Nations | Special Rapporteurs of the United Nations | UN & EC | Special Rapporteur Of The United Nations Human Rights Council  |  Special Rapporteur | UN International Police Task Force | United Nations  Babacar Gaye | United Nations  - WILFRID | United Nations Resident Coordinator"
old,IGO_50,Intergovernmental Organization,Regional,,1.0,1.0,,,,,50.0,Organization for Security and Cooperation in Europe,OSCE,OSCE | Organization For Security And Cooperation In Europe || Organisation For Security And Cooperation In Europe || Organisation For Security And Co-Operation In Europe || Organization For Security And Co-Operation In Europe |  Organisation For Security And Cooperation In Europe  |  Organisation For Security And Co-Operation In Europe  |  Organization For Security And Co-Operation In Europe | Org. Security Cooperation Europe | Organization for Security and Cooperation in Europe (OSCE) | Organisation Security | Organisation Security Cooperation | Organization Security CoÃƒÂ¢Ã¢â€šÂ¬Ã‚Âoperation | Organization Security Cooperation | OSCE Assistance Group | OSCE Mission | OSCE Mission T. Guldimann | OSCE Support Group
old,COA_51,State Coalition,,,1.0,,,,,,51.0,Group of Friends UNSG,,
old,CON_52,Country/State,,,,,,,UKR,Ukraine,52.0,Ukraine,UKR,Ukraine | UKRAINE
old,IGO_53,Intergovernmental Organization,Regional,,1.0,1.0,,,,,53.0,Commonwealth of Independent States,CIS,Commonwealth Of Independent States | CIS | CIS | Commonwealth of Independent States | Commonwealth of Independent States (CIS) |  Commonwealth Independent States
old,CON_54,Country/State,,,,,,,UZB,Uzbekistan,54.0,Uzbekistan,UZB,Uzbekistan | UZBEKISTAN | Republic Uzbekistan | Republic Uzbekistan -  I. KARIMOV | Republic of Uzbekistan
old,CON_55,Country/State,,,,,,,KGZ,Kyrgyzstan,55.0,Kyrgyzstan,KYR,Kyrgyz Republic | KYRGYZSTAN | Kyrgyz Republic | Kyrgyz Republic - A. | Kyrgyz Republic : | Kyrgyzstan | Kyrgyztan | Supreme Soviet of Kyrgyzstan
old,CON_56,Country/State,,,,,,,KAZ,Kazakhstan,56.0,Kazakhstan,KZK,Kazakhstan | KAZAKHSTAN | Kazakhstan | Kazakshtan | Kazakstan | Republic Kazakhstan | Republic Kazakhstan - N | Republic Kazakstan
old,CON_57,Country/State,,,,,,,TKM,Turkmenistan,57.0,Turkmenistan,TKM,Turkmenistan | TURKMENISTAN | Turkmenistan
old,CON_58,Country/State,,,,,,,BLR,Belarus,58.0,Belarus,BLR,Belarus (Byelorussia) | BELARUS | Republic Belarus | Byelorussia
old,CON_59,Country/State,,,,,,,AZE,Azerbaijan,59.0,Azerbaijan,AZE,Azerbaijan | AZERBAIJAN | Azerbaijan Republic | Azerbaijan Republic : | Azerbaijan Republic : S | Azerbaijani Republic - G. ALIYEV | Azerbaijani Republic : | Azerbaijani Supreme Soviet | Azerbaijan | Azerbaijan Ilham Aliyev | Republic Azerbaijan | Azerbaijan | Ministry Azerbaijan Republic : | Defence Azerbaijan : | Defence Azerbaijan Republic : | High Council Azerbaijan Republic : Jalilov  Acting | Army Azerbaijan Republic
old,CON_60,Country/State,,,,,,,MDA,Moldova,60.0,Moldova,MLD,"Moldova | MOLDOVA, REPUBLIC OF | Republic Moldova"
old,CON_61,Country/State,,,,,,,ARM,Armenia,61.0,Armenia,ARM,Armenia | ARMENIA | Republic Armenia - R. | Republic Armenia | Republic Azerbaijan I. G. Alityev | Republic Armenia N.V. Pashinyan
old,CON_62,Country/State,,,,,,,TJK,Tajikistan,62.0,Tajikistan,TAJ,Tajikistan | TAJIKISTAN | Republic Tajikistan | Tajikistan | Tajikistan | Delegation Government Republic Tajikistan | Government Republic Tajikistan
old,IGO_63,Intergovernmental Organization,Regional,,,1.0,,,,,63.0,CIS Peacekeeping Force,CIS-PKF,CPKF | CPKF of CIS | CIS Peace- Keeping Forces | PKF of the CIS
old,IGO_64,Intergovernmental Organization,,,1.0,,,United Nations,,,64.0,United Nations Development Programme,UNDP,UNDP | United Nations Development Programme | United Nations Development Programme | United Nations Development Program  |  UNDP  |  UN Development Programme
old,IGO_65,Intergovernmental Organization,,,1.0,,,United Nations,,,65.0,High Commission for Refugees,UNHCR,UNHCR | United Nations Commission For Refugees | Un Refugee Agency |U.N. High Commissioner For Refugees | U.N. Commission For Refugees | Un Commission For Refugees |Un High Commissioner For Refugees | United Nations High Commissioner For Refugees | United Nations Refugee Agency | U.N. Refugee Agency | United Nations High Commission Refugees | UNHCR | UNHCR ZENICA |  United Nations Commission For Refugees  |  Un Refugee Agency  |  U.N. High Commissioner For Refugees  |  U.N. Commission For Refugees  |  Un Commission For Refugees  |  Un High Commissioner For Refugees  |  United Nations High Commissioner For Refugees  |  United Nations Refugee Agency  |  U.N. Refugee Agency
old,MIL_66,Military,,,,,,,HTI,Haiti,66.0,Haiti Armed Forces,, Armed Forces Haiti
old,CON_67,Country/State,,,,,,,HTI,Haiti,67.0,Haiti,HAI,Haiti | HAITI | Haiti | Republic Haiti
old,IGO_68,Intergovernmental Organization,Regional,,,1.0,,,,,68.0,Organization of American States,OAS,Organisation Of American States | OAS || OEA || OrganizaciÃ³n De Los Estados Americanos | Organization Of American States |  OAS  |  OEA  |  OrganizaciÃƒÂ³n De Los Estados Americanos  |  Organization Of American States | Pan American Union (OAS) | Pan-Am Union/Org of Am States | Pan American Union (OAS) | Pan American Union | Organization American States
old,ENT_69,Entity,,,,,,,IND,India,69.0,Assam,,
old,CON_70,Country/State,,,,,,,IND,India,70.0,India,IND,India | INDIA | India | Republic India | India | Government India | Government India Ministry Home Affairs | Government Republic India | Indian
old,OTH_71,Other,,,,,1.0,,IND,India,71.0,BPAC,,
old,OTH_72,Civil Society,Non-governmental Organization,Youth,,,1.0,,IND,India,72.0,All Bodo Students Union,,ABSU
old,ARM_73,Armed Organization,,,,,,,IND,India,73.0,Hmar People's Convention,HPC,
old,ENT_74,Entity,,,,,,,IND,India,74.0,Mizoram,,
old,CON_75,Country/State,,,,,,,IRQ,Iraq,75.0,Iraq,IRQ,Iraq | IRAQ | Iraq | Republic Iraq | Iraq | Delegation Iraq | Iraqi Governing Council
old,CON_76,Country/State,,,,,,,ISR,Israel,76.0,Israel,ISR,Israel | ISRAEL
old,CON_77,Country/State,,,,,,,SYR,Syria,77.0,Syrian Arab Republic,SYR,Syria | SYRIAN ARAB REPUBLIC | Syrian Arab Republic | Syria | Syria | Syrian Government
old,CON_78,Country/State,,,,,,,JOR,Jordan,78.0,Jordan,JOR,Jordan | JORDAN
old,CON_79,Country/State,,,,,,,LBN,Lebanon,79.0,Lebanon,LEB,Lebanon | LEBANON | Lebanese Republic | Lebanon | Lebanon | Lebanese Government
old,ARM_80,Armed Organization,,,,,,,PSE,Palestine,80.0,Palestine Liberation Organization ,PLO,Palestine Liberation Organisation | Palestine Liberation Organization | Palestinian Liberation Organisation | Palestinian Liberation Organization | Palestinian Liberation Organization Delegation | PLO | PLO Executive Committee
old,CON_81,Country/State,,,,,,,NOR,Norway,81.0,Norway,NOR,Norway | NORWAY | Kingdom Norway | Kingdom Norway  Bolivarian Republic Venezuela | Norway | NORWAY | Norway | Norwegian Government | Royal Norwegian Government | ROYAL NORWEGIAN GOVERNMENT Party Facilitator | ROYAL NORWEIGAN GOVERNMENT | Royal Government of Norway
old,CON_82,Country/State,,,,,,,EGY,Egypt,82.0,Egypt,EGY,Egypt | EGYPT | Egypt | EGYPT | Republic Egypt |  the Arab Republic of Egypt | Egypt | Egyptian Government | Arab Republic Egypt
old,CON_83,Country/State,,,,,,,LBR,Liberia,83.0,Liberia,LBR,Liberia | LIBERIA | Liberia | LIBERIA | Republic Liberia
old,ARM_84,Armed Organization,,,,,,,LBR,Liberia,84.0,National Patriotic Front of Liberia,NPFL,National Patriotic Front of Liberia (Liberia)
old,CON_85,Country/State,,,,,,,TGO,Togo,85.0,Togo,TOG,Togo | TOGO | Republic Togo | Togo | Togolese Republic | TOGOLESE Republic | Togolese Republic ( | Togolese Republic Honourable Commandant Facine Toure
old,CON_86,Country/State,,,,,,,BFA,Burkina Faso,86.0,Burkina Faso,BFO,"Burkina Faso (Upper Volta) | BURKINA FASO | Burkina Faso | BURKINA FASO | Burkina Faso - Excellency FÃƒÆ’Ã‚Â©lix Houphouet - Boigny | Burkina Faso Excellency FÃƒÆ’Ã‚Â©lix Houphouet - Boigny | Burkina Faso Salif Diallo | Burkina Faso , CÃƒÆ’Ã‚Â´te d'Ivoire | Burkina Faso Facilitator Direct Dialogue"
old,IGO_87,Intergovernmental Organization,Regional,,,1.0,,,,,87.0,African Union,AU,African Union | AU | THE AU | AU | Africa Union | African Union Commission | Commission of the African Union | L'Union Africaine | Chairperson of the African Union | Commission de lÃ¢â‚¬â„¢Union Africaine | Troika of the African Union | Secretary-General of the Organization of African Unity | African Union Mission for Mali and the Sahel | MISAHEL | MISMA | African Union High Level Ad-hoc Committee for South Sudan | African Union High-level Implementation Panel for Sudan and South Sudan | AUHIP | African Union Facilitator to the AJOC | African Union High Level Implementation Panel | Chairperson Africa Union | Chairperson African Union Commission  IV | Chairperson Commission African Union  - ( Signed | Chairperson Commission African Union ] | African Union | AFRICAN UNION | African Union ' | African Union - ( Signed | African Union - H.E. Kofi A. Annan | African Union Cc | African Union Excellency | African Union Commission | African Union Facilitator | African Union High | African Union High Level | African Union Mali | African Union Mission Mali | African Union SRCC Francisco Madeira | African Unity | AU | AU - UN | AU & ECOWAS | AU / UN Mediation | AU Commission | AU Headquarters | AUC | AUHIP | African Union  |  AU  |  THE AU | AU | African Union | Organisation African Union | Commission African Union  Excellency Ahmedou Ould ABDALLAH  Special Representative Secretary - General | African Union  Excellency | African Union  - H.E. Kofi A. Annan | African Union High Level Ad - hoc Committee South Sudan | AU High Representative | AU High Representatives | Chairperson African Union Commission | African Union High - Level Implementation Panel | AU Chair
old,CON_88,Country/State,,,,,,,CIV,Côte d'Ivoire (Ivory Coast),88.0,Côte d’Ivoire,CDI,Cote DÃ¢â‚¬â„¢Ivoire | COTE D'IVOIRE | Ivory Coast | Republic CÃƒÆ’Ã‚Â´te | Republic CÃƒÆ’Ã‚Â´te d'Ivoire | Republic CÃƒÆ’Ã¢â‚¬ÂTE | Republic CBte d'lvoire | Republic Cote dÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢Ivoire | Republic Cote d'Ivoire | Republic COTE D'IVOIRE | Republic Cote D'Ivoire H.E. Seydou Limana Diarra | Republic of Cote d'Ivoire | CÃƒÂ´te d'Ivoire | Republic Cote dÃ¢â‚¬â„¢Ivoire | Republic CÃƒÂ´te d'Ivoire | Republic CÃƒâ€TE | Republic CÃƒÂ´te d'Ivoire
old,IGO_89,Intergovernmental Organization,Regional,,,1.0,,,,,89.0,Economic Community of West African States,ECOWAS,ECOWAS | Economic Community Of West African States | Economic Community West African States | Economic Community of West African States | ECOWAS | CEDEAO | CEDEAO Ministerial Council Mediation Security | Economic Community | Economic Community Central African States | Economic Community West Africa | ECOWAS | ECOWAS Committee | ECOWAS Executive | ECOWAS Group | ECOWAS Group Seven | ECOWAS  |  Economic Community Of West African States | ECOWAS | Economic Community of West African States | Economic Community of West African States (ECOWAS) | Authority Heads State Government ECOWAS
old,CON_90,Country/State,,,,,,,NGA,Nigeria,90.0,Nigeria,NIG,Nigeria | NIGERIA | Federal Republic Nigeria | Federal Republic NIGERIA | Federal Republic Nigeria : Olusegun Obasanjo | Federal Republic Nigeria ] Page | Nigeria | Republic Nigeria | Federal Republic of Nigeria | Republic of Nigeria  | Federal Government Nigeria | Federal Republic  Nigeria
old,CON_91,Country/State,,,,,,,GNB,Guinea-Bissau,91.0,Guinea-Bissau,GNB,Guinea-Bissau | GUINEA-BISSAU | Republic Guinea - Bissau
old,CON_92,Country/State,,,,,,,SEN,Senegal,92.0,Senegal,SEN,Senegal | SENEGAL | Republic SENEGAL | Republic Senegal | Republic Senegal - Honourable | Republic Senegal Excellency Gnassingbe | Republic of Senegal  | Republic Senegal  Excellency Gnassingbe | Republic Senegal  - Honourable
old,CON_93,Country/State,,,,,,,MLI,Mali,93.0,Mali,MLI,Mali | MALI | Islamic Republic Mali | Mali | Mali  Mainy Ould Assalik | Republic Mali | Republic MALI | Republic Mali  Gal | Islamic Republic of Mali
old,CON_94,Country/State,,,,,,,GHA,Ghana,94.0,Ghana,GHA,Ghana | GHANA | Ghana | Ghana Honourable | Ghana V. INTERNATIONAL PARTNERS | Republic Ghana | Republic GHANA | Republic of Ghana
old,NGO_95,Civil Society,Religious,,1.0,,,,,,95.0,Community of Sant’Egidio,,community of sant egidio | Community of Sant'Egidio | Matteo Zuppi | Andrea Riccardi | Sant'Egidio | Paolo Impagliazzo
old,NGO_96,Civil Society,Religious,,1.0,,,,,,96.0,Catholic Church,,Cath Church | Miguel Cardinal Obando y Bravo | Abbe Bruno Stephanie KOMGBO
old,CON_97,Country/State,,,,,,,MOZ,Mozambique,97.0,Mozambique,MZM,Mozambique | MOZAMBIQUE | People Republic Mozambique | Republic Mozambique | Republic Mozambique Current | GRM | Government of the Republic of Mozambique
old,ARM_98,Armed Organization,,,,,,,MOZ,Mozambique,98.0,RENAMO,,Mozambican National Resistance | Resistência Nacional Moçambicana
old,CON_99,Country/State,,,,,,,SLE,Sierra Leone,99.0,Sierra Leone,SIE,Sierra Leone | SIERRA LEONE | Republic Sierra Leone | Republic SIERRA LEONE | Republic ofÃ‚Â Sierra Leone | Salone
old,ARM_100,Armed Organization,,,,,,,SLE,Sierra Leone,100.0,Revolutionary United Front,RUF,
old,OTH_101,Other,,,,,1.0,,ESP,Spain,101.0,GOGOA,,
old,NGO_102,Civil Society,Non-governmental Organization,Other,,,1.0,,ESP,Spain,102.0,Amnistiaren Aldeko Batzordeak,,
old,NGO_103,Civil Society,Non-governmental Organization,Other,,,1.0,,ESP,Spain,103.0,Senideak,,
old,NGO_104,Civil Society,Non-governmental Organization,Other,,,1.0,,ESP,Spain,104.0,Bakea Orain (Peace Now),,
old,NGO_105,Civil Society,Non-governmental Organization,Other,,,1.0,,ESP,Spain,105.0,Gernika Batzordea,,
old,NGO_106,Civil Society,Non-governmental Organization,Other,,,1.0,,ESP,Spain,106.0,Egizan,,
old,NGO_107,Civil Society,Religious,,,,1.0,,ESP,Spain,107.0,Herria 2000 Eliza (aldizkaria),,
old,NGO_108,Civil Society,Unions,,,,1.0,,ESP,Spain,108.0,Hiru,,
old,NGO_109,Civil Society,Non-governmental Organization,Other,,,1.0,,ESP,Spain,109.0,Auto-Determinazioren Bilzarrak,,
old,NGO_110,Civil Society,Non-governmental Organization,Other,,,1.0,,ESP,Spain,110.0,Elkarri,,
old,NGO_111,Civil Society,Unions,,,,1.0,,ESP,Spain,111.0,Ezker Sindikalaren Konbergentzia ,,
old,NGO_112,Civil Society,Unions,,,,1.0,,ESP,Spain,112.0,STEE-ELIAS,,
old,NGO_113,Civil Society,Unions,,,,1.0,,ESP,Spain,113.0,Ezker Sindikalaren Koordinakundea-Coordinadora Unitaria de Izquierda Sindical,,
old,POL_114,Political Party,,,,,,,ESP,Spain,114.0,National Unity,AB,
old,POL_115,Political Party,,,,,,,ESP,Spain,115.0,Partido Nacionalista Vasco,PNV,
old,POL_116,Political Party,,,,,,,ESP,Spain,116.0,Eusko Alkartasuna,EA,Basque Solidarity
old,POL_117,Political Party,,,,,,,ESP,Spain,117.0,Izquierda Unida,IU,
old,ARM_118,Armed Organization,,,,,,,ESP,Spain,118.0,Herri Batasuna,,
old,NGO_119,Civil Society,Unions,,,,1.0,,ESP,Spain,119.0,Eusko Langileen Alkartasuna,,
old,NGO_120,Civil Society,Unions,,,,1.0,,ESP,Spain,120.0,Langile Abertzaleen Batzordeak,,
old,NGO_121,Civil Society,Unions,,,,1.0,,ESP,Spain,121.0,Euskal Herriko Nekazarien Elkartasuna,,
old,POL_122,Political Party,,,,,,,ESP,Spain,122.0,BATZARRE ZUTIK (Batzarre),BATZARRE ZUTIK,
old,ARM_123,Armed Organization,,,,,,,SOM,Somalia,123.0,Rahanwein Resistance Army,,
