med_event_ID,conflict_country,conflict_counry_ID,conflict_id,med_location - MULTISELECT,med_loc_cty,med_loc_x,med_loc_y,Day,Month,Year,third_party,third_party_id_GLOPAD,third_party_id,third_party_id_PAX,num_med,individual_med_named,groupings_mechanisms,num_local,if_loc_belig,agmt,ceasefire,agmt_name,agmt_id_PAX,Summary,source_urls,med_type
LIB202301-10,Libya,620,,Tripoli,LBN,35.8344,34.4367,17,1,2023,Turkey,CON_562,CON_562,640,1,Hakan Fidan,,2+,1,0,,,,"On Tuesday evening, the head of Turkish intelligence met separately with Al-Mashri, Mohamed al-Menfi, president of the Libyan Presidential Council and Dbeibeh, before holding a meeting at the house of Dbeibeh’s brother-in-law, in the presence of General Othman Itaj, the commander of the Turkish forces in western Libya, Al-Mashri, Dbeibeh and Abdullah Al-Lafi.",https://english.aawsat.com/home/article/4107346/turkish-intelligence-chief-holds-reconciliation-between-mishri-debeibeh; https://www.crisisgroup.org/crisiswatch/database?location%5B0%5D=95&crisis_state=&created=&from_month=1&from_year=2024&to_month=1&to_year=2024&page=2,M
LIB202302-2,Libya,620,,Addis Ababa,ETH,38.74,9.03,17,2,2023,AU; UNSG,GP-6;IGO_386,; IGO_386,; ,2,António Guterres; Moussa Faki Mahamat,,0,,0,,,,"At a meeting of the African Union’s (AU) High-level Committee on Libya, which took place on 17 and 18 February, Secretary-General António Guterres said that his Special Representative has been engaging relevant parties “to agree on a constitutional basis for elections by the end of this month”. At the conclusion of the 17-18 February AU meeting, Chairperson of the AU Commission Moussa Faki Mahamat announced that the regional organisation will host a national reconciliation conference for Libya. The conference—the date of which has yet to be confirmed—will be chaired by President of the Republic of Congo Denis Sassou Nguesso, who heads the AU High-level Committee on Libya.....In Addis Ababa, the Secretary-General took part in several high-level events.  He addressed the Roundtable on the Joint Sahel Assessment, the meeting of Heads of State and Government of the African Union Peace and Security Council on the situation in eastern Democratic Republic of the Congo, as well as the High-Level Committee on Libya.   In his remarks to the meeting on Libya, the Secretary-General said that the UN has no agenda and no goal but one:  to secure the right of the Libyan people to live in peace; to vote in free and fair elections; and to share in the prosperity of their country.  He warned that the absence of elections worsens economic insecurity, heightens political instability, risks renewed conflict, and raises the spectre of partition.... UN Secretary-General António Guterres’ remarks, as prepared for delivery, at the African Union High-Level Committee on Libya, in Addis Ababa today..... I welcome the opportunity to address this African Union High-Level Committee.  My thanks to [Democratic Republic of the Congo] President [Denis] Sassou Nguesso for his stewardship of the African Union’s efforts on Libya.... I reiterate my call for all countries involved to respect the integrity of international refugee law, and for Libyan authorities to find rights-based alternatives to detention, in line with international human rights law.  The United Nations and the African Union — together with other key regional actors and organizations — must work together to support the Libyan people in realizing their legitimate aspirations to a more peaceful and prosperous future.  I count on your unwavering commitment.",https://www.securitycouncilreport.org/whatsinblue/2023/02/libya-briefing-and-consultations-12.php; https://press.un.org/en/2023/sgsm21690.doc.htm; https://press.un.org/en/2023/db230217.doc.htm,MR
LIB202302-3,Libya,620,,Washington,USA,-77.0163,38.9047,23,2,2023,Egypt; France; Germany; Qatar; Turkey; United Arab Emirates; United Kingdom; United States; UNSMIL,CON_82;CON_7;CON_2;CON_2;CON_486;CON_562;CON_591;CON_19;CON_3;IGO_750,CON_82; CON_7; CON_2; CON_2; CON_486; CON_562; CON_591; CON_19; CON_3; IGO_750,651; 220; 255; 260; 694; 640; 696; 200; 2; ,9,Abdoulaye Bathily,UNSMIL process,0,,0,,,,"On 23 February, the Special Representative attended a meeting of representatives from Egypt, France, Germany, Qatar, Türkiye, the United Arab Emirates, the United Kingdom and the United States in Washington, D.C., to discuss the situation in Libya. He expressed concern about the implications associated with the status quo and encouraged international partners to remain unified in their position on the Libyan crisis.... He has also consulted with international partners, notably meeting with representatives of Egypt, France, Germany, Italy, Qatar, Türkiye, the United Arab Emirates, the UK, and the US in Washington DC yesterday (23 February).",https://www.securitycouncilreport.org/whatsinblue/2023/02/libya-briefing-and-consultations-12.php; https://unsmil.unmissions.org/sites/default/files/report_of_the_secretary-general_antonio_guterres_on_the_united_nations_support_mission_in_libya_-_05_april_2023.pdf,MR
LIB202304-1,Libya,620,,Khartoum,SDN,32.5,15.6,3,4,2023,UNSMIL; Sudan,IGO_750;CON_158,IGO_750; CON_158,; 625,2,Abdoulaye Bathily; Abdulfattah Burhan; Ali al-Sadiq; Yassin Ibrahim,UNSMIL process,0,,0,,,,"Special Representative of the Secretary General (SRSG) in Libya, Abdoulaye Bathily, today concluded his first official visit to Libya's southern neighbours, Sudan, Chad and Niger. During the visit he discussed restoring peace and stability in Libya, including through the withdrawal of foreign fighters, foreign forces and mercenaries from the country with adequate coordination. In Khartoum, SRSG Bathily was received by President of the Transitional Sovereignty Council of Sudan, H.E. Abdulfattah Burhan. The President expressed his support for UNSMIL's efforts towards peace and stability in Libya which would also contribute to the stability of the region. He agreed that one of the actions needed to restore peace in Libya was the return of foreign fighters, foreign forces, and mercenaries to their countries of origin.....Prior to the meeting with President Burhan, SRSG Bathily met with the Sudanese Minister of Foreign Affairs, H.E. Ali Al-Sadiq. They discussed recent political developments in Libya and the need to consolidate efforts to address the common challenges facing Sudan and Libya, including border security....During the visit he discussed restoring peace and stability in Libya, including through the withdrawal of foreign fighters, foreign forces and mercenaries from the country with adequate coordination. In his meeting with the Minister of Defence of Sudan, General Yassin Ibrahim, they reviewed the progress achieved by the 5+5 JMC and the Liaison Committees from Libya, Sudan, Chad and Niger. General Ibrahim confirmed his commitment to pursing a coordinated withdrawal of foreign fighters and mercenaries from Libya and to reintegrating qualified candidates into relevant institutions.",https://reliefweb.int/report/libya/srsg-bathily-visits-chad-sudan-and-niger-renew-their-shared-commitment-withdrawal-foreign-fighters-and-mercenaries-libya,MR
LIB202304-2,Libya,620,,N'Djamena,TCD,15.05,12.11,4,4,2023,UNSMIL; Chad,IGO_750;CON_157,IGO_750; CON_157,; 483,2,Abdoulaye Bathily; Mahamat Idriss Deby; Mahamat Salah Annadif; Daoud Yaya,UNSMIL process,0,,0,,,,"Special Representative of the Secretary General (SRSG) in Libya, Abdoulaye Bathily, today concluded his first official visit to Libya's southern neighbours, Sudan, Chad and Niger. During the visit he discussed restoring peace and stability in Libya, including through the withdrawal of foreign fighters, foreign forces and mercenaries from the country with adequate coordination. SRSG Bathily was received in N'Djamena by the Transitional President, General Mahamat Idriss Déby, who expressed appreciation for initiating this high-level consultation on a key strategic issue important to Libya and Chad alike. President Déby was clear that peace and stability in Libya is also in the best interests of Chad and therefore pledged his further cooperation....SRSG Bathily also met with the Minister of Foreign Affairs, Chadians Abroad and International Cooperation, Mahamat Saleh Annadif to discuss efforts to hold inclusive elections this year in Libya. He expressed Chad's support to the UN for its good offices in Libya..... To discuss the technicalities of the withdrawal process and to help reach common understanding, SRSG Bathily separately met with the Chadian Minister for Public Security and Immigration, Mahamat Margui and Minister of General Defence Daoud Yaya. They both expressed support for the UN efforts in facilitating a coordinated withdrawal of these elements. They stressed the imperative of adequate processes of repatriation and disarmament, demobilization and reintegration.",https://reliefweb.int/report/libya/srsg-bathily-visits-chad-sudan-and-niger-renew-their-shared-commitment-withdrawal-foreign-fighters-and-mercenaries-libya,MR
LIB202304-3,Libya,620,,Niamey,NER,2.1175,13.515,5,4,2023,Niger; UNSMIL,CON_142;IGO_750,CON_142; IGO_750,436; ,2,Abdoulaye Bathily; Mohamed Bazoum; Alkassoum Indattou; Alkache Alhada,UNSMIL process,0,,0,,,,"Special Representative of the Secretary General (SRSG) in Libya, Abdoulaye Bathily, today concluded his first official visit to Libya's southern neighbours, Sudan, Chad and Niger. During the visit he discussed restoring peace and stability in Libya, including through the withdrawal of foreign fighters, foreign forces and mercenaries from the country with adequate coordination. ""I was honored to be received by the President of the Republic of Niger, H.E. Mohamed Bazoum, who commended the UN's efforts to stabilize Libya at this critical time,"" said SRSG Bathily, adding that they discussed the progress made on the security track and efforts towards the holding of elections this year....Earlier in the day, SRSG Bathily met with Niger's Minister of National Defence, H.E. Alkassoum Indattou and Minister of Interior and Public Security, Mr Alkache Alhada, to review the coordination mechanisms of the 5+5 JMC committee to facilitate the withdrawal of Nigerien mercenaries and fighters from Libya. They also discussed enhancing border security between Niger and Libya to prevent cross-border trafficking.",https://reliefweb.int/report/libya/srsg-bathily-visits-chad-sudan-and-niger-renew-their-shared-commitment-withdrawal-foreign-fighters-and-mercenaries-libya,MR
LIB202304-4,Libya,620,,Virtual ,0, , ,8,4,2023,UNSMIL; United States,IGO_750;CON_3,IGO_750; CON_3,; 2,2,Abdoulaye Bathily; Richard Norland,UNSMIL process,0,,0,,,,"The US Ambassador to Libya, Richard Norland, welcomed the meetings of military and security leaders in Benghazi during a phone call with the UN Envoy to Libya, Abdoulaye Bathily on Saturday. Norland said both he and Bathily commended the leaders who met together in Benghazi ""to reaffirm their commitment to Libya’s sovereignty and political stability through elections and the departure of foreign fighters, forces, and mercenaries.” The US official also thanked Bathily for his efforts to promote national consensus towards elections in Libya.",https://libyaobserver.ly/news/norland-welcomes-security-meeting-benghazi,MR
LIB202304-5,Libya,620,,Riyadh,SAU,46.7167,24.6333,30,4,2023,Saudi Arabia; UNSMIL,CON_419;IGO_750,CON_419; IGO_750,670; ,2,Abdoulaye Bathily; Faisal bin Farhan Al Saud,UNSMIL process,0,,0,,,,"On 30 April, the Special Representative met with the Minister of Foreign Affairs of Saudi Arabia, Prince Faisal bin Farhan Al Saud, in Riyadh. Discussions centred on measures required to support the unity of Libyan institutions and to achieve a Libyan-owned pathway towards the holding of presidential and parliamentary elections.",https://unsmil.unmissions.org/sites/default/files/s-2023-589_-_sg_report_on_unsmil.pdf,MR
LIB202305-1,Libya,620,,Cairo,EGY,31.2358,30.0444,18,5,2023,Egypt; Italy,CON_82;CON_139,CON_82; CON_139,651; 325,2,Abdel Fattah al-Sisi; Guido Crosetto; Giuseppe Dragone,,0,,0,,,,"The Egyptian President, Abdel-Fattah al-Sisi, has held talks with the Italian Minister of Defense, Guido Crosetto, and Chairman of Joint Chiefs of Staff of Italian forces, Giuseppe Dragone, on the developments of the Libyan crisis. The Official spokesman for the Egyptian Presidency, Ahmed Fahmy, said that the talks, which were held in Cairo, touched on the phenomenon of illegal migration, and the need for concerted efforts to advance mechanisms to confront cross-border challenges. With regard to developments of regional issues, especially Libya and Sudan, the two sides agreed on the importance of advancing political solutions to various crises the region is going through, within the framework of preserving unity of states and their territorial integrity, in a way that meets the aspirations of their peoples towards restoring security, stability, and moving towards development and prosperity.",https://libyaobserver.ly/inbrief/al-sisi-discusses-italian-military-delegation-libyan-developments,MR
LIB202302-4,Libya,620,,Cairo,EGY,31.2358,30.0444,7,2,2023,UNSMIL; Sudan; Niger; Egypt,IGO_750;CON_158;CON_142;CON_82,IGO_750; CON_158; CON_142; CON_82,; 625; 436; 651,4,Abdoulaye Bathily,UNSMIL process,2+,1,1,,Establishment of an integrated mechanism for joint coordination and data exchange to facilitate the full withdrawal of mercenaries and foreign fighters from Libya ( 5+5 Joint Military Commission),,"The 5+5 Joint Military Commission (JMC) and liaison committees from Libya, Sudan and Niger have developed and approved the establishment of an integrated mechanism for joint coordination and data exchange to facilitate the full withdrawal of mercenaries and foreign fighters from Libya. The decision was announced today at the conclusion of a two-day meeting in Cairo, chaired by the Special Representative of the Secretary-General for Libya, Abdoulaye Bathily. Mr. Bathily, in his closing remarks, said that the decision is an important step toward achieving sustainable stability and peace in Libya, in neighbouring countries and the region in general.  This progress is also an important step toward creating a favourable climate for the political process, including the organization of elections in 2023... On 8 February, after a two-day meeting in Cairo that was chaired by Bathily, the 5+5 Joint Military Commission (JMC)—which is entrusted with overseeing the security aspects of the Libyan peace process—and liaison committees from Libya, Sudan, and Niger reached agreement on an integrated coordination and data exchange mechanism to facilitate the full withdrawal of mercenaries and foreign fighters from the country. In his closing address at that meeting, Bathily described the agreement as “an important step toward creating a favourable climate for the political process, including the organization of elections in 2023”.... UNSMIL reported Wednesday that the 5+5 Joint Military Commission (JMC) and liaison committees from Libya, Sudan and Niger developed and approved the establishment of an integrated mechanism for joint coordination and data exchange to facilitate the full withdrawal of mercenaries and foreign fighters from the country. The decision was announced Wednesday at the conclusion of a two-day meeting in Cairo chaired by the Special Representative of the Secretary-General of the United Nations for Libya (SRSG), Abdoulaye Bathily. SRSG Bathily, in his closing remarks, expressed appreciation for the Egyptian government’s efforts to aid dialogue between Libyan parties in support for a resolution to the current crisis. He also commended the 5+5 JMC’s leadership and the work of the participating liaison committees. “What you have achieved here is an important step toward achieving sustainable stability and peace in Libya, in neighbouring countries and the region in general,” he said. “This progress is also an important step toward creating a favourable climate for the political process, including the organization of elections in 2023.” The atmosphere of cooperation that prevailed in the meeting “reflects the common desire of Libya and its neighbours to end the presence of mercenaries and foreign fighters on Libyan territory without adversely impacting the neighbouring countries,” he said.... On February 7-8, the Egyptian capital Cairo hosted the meetings of the Libyan 5+5 Joint Military Commission (JMC)), to discuss the withdrawal of mercenaries and foreign forces from the country. UN special envoy for Libya Abdoulaye Bathily chaired the meeting with the participation of a liaison committee from Sudan and Niger. The 5+5 JMC approved the establishment of an integrated mechanism for joint coordination and data sharing to facilitate the full withdrawal of mercenaries and foreign fighters from Libya, according to a statement released by the UN Support Mission in Libya.... On 7 and 8 February, the Special Representative chaired a meeting in Cairo, bringing together the Commission and the liaison committees of Libya, the Niger and the Sudan. Participants agreed to establish an integrated mechanism for joint coordination and data exchange to facilitate the full withdrawal of foreign fighters and mercenaries from Libya... The Special Representative of the Secretary-General (SRSG) for Libya and Head of the United Nations Support Mission in Libya, Abdoulaye Bathily, launched today in Cairo a two-day meeting bringing together the 5+5 Joint Military Commission (JMC) and liaison committees for Libya, Sudan and Niger to discuss the withdrawal of foreign fighters and mercenaries. SRSG Bathily acknowledged the challenge of fully implementing the Ceasefire Agreement amidst political deadlock; however, he underlined that operationalizing the Liaison Committee’s role in withdraw foreign fighters and mercenaries, along the Action plan of the 5+5 JMC signed in October 2021, would “inspire hope among Libyans.” The goal of the Cairo meeting was to establish a mechanism to coordinate follow-up and information sharing between the 5+5 JMC and the liaison committees as they move forward. In January, the 5+5 JMC  formed the Libyan liaison committee to institutionalize coordination with its counterpart liaison committees from Sudan, Niger and Chad, which were formed in 2021. ",https://press.un.org/en/2023/db230208.doc.htm; https://www.securitycouncilreport.org/whatsinblue/2023/02/libya-briefing-and-consultations-12.php; https://www.crisisgroup.org/crisiswatch/database?location%5B0%5D=95&crisis_state=&created=&from_month=1&from_year=2024&to_month=1&to_year=2024&page=1; https://www.libyaherald.com/2023/02/libyas-55-jmc-and-liaison-committees-approve-coordination-mechanism-for-foreign-mercenaries-and-fighter-from-libya/; https://sudantribune.com/article270824/; https://unsmil.unmissions.org/srsg-bathily-chairs-meeting-joint-military-commission-and-liaison-committees-neighboring-countries; https://unsmil.unmissions.org/sites/default/files/report_of_the_secretary-general_antonio_guterres_on_the_united_nations_support_mission_in_libya_-_05_april_2023.pdf; ,M
LIB202302-5,Libya,620,,Tunisia,TUN,9,34,17,2,2023,UNSMIL,IGO_750,IGO_750,,1,Abdoulaye Bathily,UNSMIL process,1,,0,,,,"The UN envoy to Libya Abdoulaye Bathily said he attended Friday the meeting of the Libyan and international ceasefire monitors in Tunisia, adding on his Twitter account that the monitors had discussed next steps on the withdrawal of mercenaries and foreign fighters to contribute to peace and stability in Libya. The Head of the UN Support Mission in Libya (UNSMIL) said he had commended the monitors for their sense of responsibility and respect of the sovereignty of Libya.",https://libyaobserver.ly/news/un-envoy-reviews-ceasefire-monitors-steps-mercenaries-withdrawal-libya,MR
LIB202306-1,Libya,620,,Niamey,NER,2.1175,13.515,14,6,2023,UNSMIL; High-Level Independent Panel on Security and Development of the Sahel,IGO_750;NM,IGO_750; NM,; NM,2,Abdoulaye Bathily,UNSMIL process,0,,0,,,,"On 14 June, the Special Representative attended a regional consultative forum on the development of the Sahel, held in Niamey and organized by the High-level Independent Panel on Security and Development in the Sahel. He highlighted the interconnectedness of the crisis in Libya and the wider region and emphasized the need for strong regional coordination. He also continued to actively engage the diplomatic community in Libya, including by giving a briefing to members of the diplomatic community from African countries.",https://unsmil.unmissions.org/sites/default/files/s-2023-589_-_sg_report_on_unsmil.pdf,MR
